ZTime,Time,Lon,Lat,Event,Magnitude,City,County,State,Source,Wfo,Remarks
20160209223800,20160209173800,-79.81,40.38,SNOW,2.0,EAST MCKEESPORT,ALLEGHENY,PA,CO-OP OBSERVER,,
20161217083000,20161217033000,-80.05,40.37,FREEZING RAIN,0.0,MOUNT LEBANON,ALLEGHENY,PA,TRAINED SPOTTER,,COATING OF ICE ON ALL SURFACES
20160529200400,20160529160400,-79.93,40.37,FLASH FLOOD,-9999.0,1 WNW WEST MIFFLIN,ALLEGHENY,PA,911 CALL CENTER,,LEBANON ROAD DAMAGED BY FLOODING
20160403062200,20160403022200,-79.93,40.35,NON-TSTM WND GST,44.0,ALLEGHENY COUNTY AIRPOR,ALLEGHENY,PA,ASOS,,
20160725201600,20160725161600,-79.96,40.3,TSTM WND DMG,-9999.0,GILL HALL,ALLEGHENY,PA,911 CALL CENTER,,NUMEROUS TREES DOWN NEAR SOUTH PARK
20161218141400,20161218091400,-79.94,40.36,FREEZING RAIN,0.0,1 E BALDWIN,ALLEGHENY,PA,ASOS,,TRACE OF ICE MEASURED BY THE ASOS
20161214030000,20161213220000,-79.95,40.31,SNOW,4.0,2 NW JEFFERSON,ALLEGHENY,PA,COCORAHS,,24 HOUR SNOWFALL.
20161230134800,20161230084800,-80.04,40.32,SNOW,3.0,BETHEL PARK,ALLEGHENY,PA,SOCIAL MEDIA,,
20160216140000,20160216090000,-80.01,40.43,FREEZING RAIN,0.0,MOUNT WASHINGTON,ALLEGHENY,PA,SOCIAL MEDIA,,1.1 INCH TOTAL LIQUID
20161214034000,20161213224000,-79.93,40.29,SNOW,4.0,JEFFERSON HILLS,ALLEGHENY,PA,TRAINED SPOTTER,,STORM TOTAL SNOW
20160123112200,20160123062200,-79.99,40.44,SNOW,3.0,1 W PITTSBURGH,ALLEGHENY,PA,PUBLIC,,
20160617125500,20160617085500,-79.98,40.4,HEAVY RAIN,2.0,1 S MOUNT OLIVER,ALLEGHENY,PA,MESONET,,MESONET STATION MOUNT OLIVER /E7897/.
20160304114100,20160304064100,-80.09,40.41,SNOW,2.0,CARNEGIE,ALLEGHENY,PA,TRAINED SPOTTER,,
20160123104500,20160123054500,-80.1,40.4,SNOW,5.0,1 NW SCOTT TOWNSHIP,ALLEGHENY,PA,COCORAHS,,24 HOUR SNOWFALL.
20160110171700,20160110121700,-80.06,40.31,NON-TSTM WND GST,36.0,1 WSW BETHEL PARK,ALLEGHENY,PA,MESONET,,MESONET STATION 1 WSW BETHEL PARK /E3639/
20160121004400,20160120194400,-79.84,40.34,SNOW,1.0,MCKEESPORT,ALLEGHENY,PA,TRAINED SPOTTER,,
20160123032200,20160122222200,-79.93,40.29,SNOW,2.0,JEFFERSON,ALLEGHENY,PA,TRAINED SPOTTER,,
20160123110000,20160123060000,-80.03,40.58,SNOW,3.0,MCCANDLESS TOWNSHIP,ALLEGHENY,PA,SOCIAL MEDIA,,
20161022011500,20161021211500,-80.03,40.58,HEAVY RAIN,2.0,MCCANDLESS TOWNSHIP,ALLEGHENY,PA,SOCIAL MEDIA,,STORM TOTAL. 1.83 IN 24 HOURS
