ZTime,Time,OAT,DT,SLP,WD,WS,SKY,PPT,PPT6,Plsr.Event,Plsr.Source
20150516040000,20150516000000,200,117,10193,190,36,0,0,-9999,,
20150516050000,20150516010000,200,117,10193,200,41,2,0,-9999,,
20150516060000,20150516020000,194,122,10189,190,41,0,0,-9999,,
20150516070000,20150516030000,189,128,10186,190,46,0,0,-9999,,
20150516080000,20150516040000,183,128,10188,180,36,0,0,-9999,,
20150516090000,20150516050000,183,128,10189,190,46,2,0,-9999,,
20150516100000,20150516060000,183,133,10193,200,41,2,0,-9999,,
20150516110000,20150516070000,189,133,10198,200,41,0,0,-9999,,
20150516120000,20150516080000,200,144,10208,190,41,2,0,-9999,,
20150516130000,20150516090000,206,150,10211,210,41,0,0,-9999,,
20150516140000,20150516100000,222,156,10212,210,57,4,0,-9999,,
20150516150000,20150516110000,239,156,10212,250,51,4,0,-9999,,
20150516160000,20150516120000,239,156,10209,260,36,-9999,-1,-9999,,
20150516170000,20150516130000,211,172,10210,240,31,-9999,28,-9999,,
20150516180000,20150516140000,222,172,10211,200,36,-9999,-1,28,,
20150516190000,20150516150000,211,172,10212,180,36,-9999,-1,-9999,,
20150516200000,20150516160000,206,172,10205,170,36,-9999,3,-9999,,
20150516210000,20150516170000,211,172,10203,160,26,-9999,-1,-9999,,
20150516220000,20150516180000,211,172,10205,170,26,-9999,0,-9999,,
20150516230000,20150516190000,211,172,10204,200,31,-9999,3,-9999,,
20150517000000,20150516200000,206,178,10204,210,41,-9999,-1,5,,
20150517010000,20150516210000,200,167,10205,220,36,4,-1,-9999,,
20150517020000,20150516220000,200,161,10209,220,36,-9999,0,-9999,,
20150517030000,20150516230000,194,161,10213,220,26,0,0,-9999,,
