ZTime,Time,Lon,Lat,Event,Magnitude,City,County,State,Source,Wfo,Remarks
20161216022100,20161215182100,-121.91,37.38,FLASH FLOOD,-9999.0,4 SSW MILPITAS,SANTA CLARA,CA,LAW ENFORCEMENT,,ROADWAY FLOODING AT 2020 JUNCTION AVE
20170123222500,20170123142500,-122.14,37.4,HAIL,0.0,PALO ALTO,SANTA CLARA,CA,PUBLIC,,PEA SIZED HAIL REPORTED.
20170123212100,20170123132100,-122.02,37.28,HAIL,0.0,4 W CAMPBELL,SANTA CLARA,CA,TRAINED SPOTTER,,
20170110223000,20170110143000,-122.09,37.36,FLOOD,-9999.0,4 NW CUPERTINO,SANTA CLARA,CA,TRAINED SPOTTER,,HEAVY RAIN .25 TO .49 INCHES PER HOUR. STREETS STARTING TO FLOOD
20170123223000,20170123143000,-122.1,37.37,HAIL,0.0,LOS ALTOS,SANTA CLARA,CA,PUBLIC,,PEA SIZED HAIL REPORTED
20170111040000,20170110200000,-122.04,37.36,FLOOD,-9999.0,2 SSW SUNNYVALE,SANTA CLARA,CA,LAW ENFORCEMENT,,FLOODING OVER RIGHT LANE AND INTO KEFT LANE ON HWY 280 AND 85 OFF RAMP
20170108195700,20170108115700,-122.1,37.37,NON-TSTM WND GST,0.0,LOS ALTOS,SANTA CLARA,CA,TRAINED SPOTTER,,WIND GUSTS OF 50 MPH REPORTED. MINOR STREET FLOODING ALSO REPORTED.
20170123222500,20170123142500,-122.03,37.39,HAIL,0.0,SUNNYVALE,SANTA CLARA,CA,PUBLIC,,PEA SIZED HAIL REPORTED.
20170119185900,20170119105900,-121.97,37.35,HAIL,0.0,5 N CAMPBELL,SANTA CLARA,CA,TRAINED SPOTTER,,
20170107153000,20170107073000,-122.0,37.53,FLASH FLOOD,-9999.0,FREMONT,ALAMEDA,CA,NEWSPAPER,,LOCALIZED FLOODING AND INTERMITTENT HEAVY RAINS ON HIGHWAY 880 AT MISSION BLVD EXIT CAUSED FATAL CRASH TAKING LIFE OF FEMALE DRIVER
20170110184800,20170110104800,-121.92,37.53,HIGH SUST WINDS,33.0,4 E FREMONT,ALAMEDA,CA,MESONET,,CALAVERAS ROAD RAWS. ELEVATION 1230 FEET.
20170122113200,20170122033200,-121.92,37.43,NON-TSTM WND DMG,-9999.0,1 W MILPITAS,SANTA CLARA,CA,LAW ENFORCEMENT,,TREES DOWN - LANE BLOCKED
