ZTime,Time,OAT,DT,SLP,WD,WS,SKY,PPT,PPT6,Plsr.Event,Plsr.Source
20161201080000,20161201000000,89,67,10204,0,0,0,0,-9999,,
20161201090000,20161201010000,83,67,10203,250,15,0,0,-9999,,
20161201100000,20161201020000,83,61,10201,250,15,0,0,-9999,,
20161201110000,20161201030000,78,56,10201,270,26,0,0,-9999,,
20161201120000,20161201040000,72,56,10203,0,0,0,0,-9999,,
20161201130000,20161201050000,61,50,10203,0,0,0,0,-9999,,
20161201140000,20161201060000,67,44,10205,0,0,0,0,-9999,,
20161201150000,20161201070000,61,44,10207,0,0,0,0,-9999,,
20161201160000,20161201080000,78,56,10210,260,21,0,0,-9999,,
20161201170000,20161201090000,106,72,10212,0,0,0,0,-9999,,
20161201180000,20161201100000,122,61,10216,360,21,0,0,-9999,,
20161201190000,20161201110000,128,56,10210,20,21,0,0,-9999,,
20161201200000,20161201120000,133,50,10204,350,26,0,0,-9999,,
20161201210000,20161201130000,144,22,10199,340,36,0,0,-9999,,
20161201220000,20161201140000,144,11,10194,310,36,0,0,-9999,,
20161201230000,20161201150000,150,6,10193,310,26,0,0,-9999,,
20161202000000,20161201160000,144,6,10195,350,31,0,0,-9999,,
20161202010000,20161201170000,133,11,10197,320,15,0,0,-9999,,
20161202020000,20161201180000,117,17,10201,260,21,0,0,-9999,,
20161202030000,20161201190000,106,17,10204,0,0,0,0,-9999,,
20161202040000,20161201200000,100,22,10203,0,0,0,0,-9999,,
20161202050000,20161201210000,89,28,10213,280,21,0,0,-9999,,
20161202060000,20161201220000,94,28,10214,0,0,0,0,-9999,,
20161202070000,20161201230000,94,28,10215,290,31,0,0,-9999,,
20161202080000,20161202000000,94,22,10215,-9999,31,0,0,-9999,,
20161202090000,20161202010000,111,6,10212,320,46,0,0,-9999,,
20161202100000,20161202020000,100,6,10214,330,31,0,0,-9999,,
20161202110000,20161202030000,117,-28,10212,330,62,0,0,-9999,,
20161202120000,20161202040000,111,-33,10215,320,36,0,0,-9999,,
20161202130000,20161202050000,106,-33,10218,320,36,0,0,-9999,,
20161202140000,20161202060000,111,-39,10225,340,72,0,0,-9999,,
20161202150000,20161202070000,89,-22,10231,40,26,0,0,-9999,,
20161202160000,20161202080000,106,-28,10239,340,21,0,0,-9999,,
20161202170000,20161202090000,122,-28,10243,340,26,0,0,-9999,,
20161202180000,20161202100000,133,-22,10245,350,46,0,0,-9999,,
20161202190000,20161202110000,144,-22,10243,310,36,0,0,-9999,,
20161202200000,20161202120000,156,-22,10236,330,41,0,0,-9999,,
20161202210000,20161202130000,161,-17,10231,340,41,0,0,-9999,,
20161202220000,20161202140000,167,-33,10227,360,77,0,0,-9999,,
20161202230000,20161202150000,167,-22,10225,360,77,0,0,-9999,,
